ID,SMILES,UX,UY,MOLWT,SOLUBILITY,LOGP,NHACCEPT,NHDONER,NHETEROATOMS,NROTABLEBONDS,FRACCSP3,TPSA
CHEMBL237830,c1ccc(NCc2ccc(CNc3ccccn3)cc2)nc1,7.1023945808410645,6.930824279785156,290.37,-3.05,3.700800000000002,4,2,4,6,0.1111111111111111,49.84
CHEMBL191528,CCOc1ccc2ccc(=O)oc2c1,7.808206081390381,6.87552547454834,190.19799999999995,0.0,2.1917,3,0,3,2,0.18181818181818182,39.44
CHEMBL1736763,N#Cc1cnn(-c2ccccc2)c1NC(=O)CN1CCOCC1,6.4585280418396,6.012508392333984,311.34500000000014,0.01,1.0146799999999998,6,1,7,4,0.3125,83.18
CHEMBL1472408,Nc1nnc(Cc2ccccc2)s1,7.589733123779297,7.392779350280762,191.25900000000001,0.08,1.7110999999999998,4,1,4,2,0.1111111111111111,51.8
CHEMBL428777,CC(Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,5.061046123504639,14.432297706604004,477.95200000000017,-2.21,4.856300000000003,7,1,9,8,0.2,89.47000000000001
CHEMBL256362,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(OC(C)C(=O)N(C)C)c34)cc2C)cn1,4.040440559387207,14.797750473022461,457.5340000000003,-1.64,5.033040000000003,7,1,8,7,0.23076923076923078,89.47
CHEMBL258282,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,4.794574737548828,14.183629989624023,494.98700000000025,-1.58,3.350100000000001,9,2,11,9,0.3333333333333333,104.32000000000001
CHEMBL2086680,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3C#N)cn2)CC1,19.195980072021484,5.139443397521973,396.45100000000014,-1.49,2.3793800000000003,8,0,9,4,0.45,104.47000000000001
CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,5.885246753692627,7.713122844696045,413.90900000000005,-1.41,3.9185000000000016,7,3,8,9,0.23809523809523808,82.54
CHEMBL2030436,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc3[nH]ccc3c2)n1,5.228632926940918,9.811823844909668,372.45,-2.03,2.0061,6,1,8,4,0.3333333333333333,88.17999999999999
CHEMBL2158466,CCCSc1nc(NC)ccc1C(=O)NC1C2CC3CC1CC(O)(C3)C2,7.124338150024414,4.513919353485107,375.53800000000024,-1.33,3.294800000000002,5,3,6,6,0.7,74.25
CHEMBL96076,COc1ccc(CN2CCc3c([nH]c4ccccc34)C2)cc1OC,6.4956560134887695,6.906695365905762,322.40800000000013,-1.29,3.743400000000002,3,1,4,4,0.3,37.489999999999995
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,7.686518669128418,6.793632507324219,212.25199999999998,-1.26,3.033120000000001,2,1,3,1,0.15384615384615385,37.91
CHEMBL211625,COc1ccc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1OC,5.021454334259033,4.8828887939453125,377.44400000000013,-1.24,4.150400000000002,5,3,6,7,0.13636363636363635,85.61
CHEMBL278489,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,7.787140846252441,5.37673807144165,233.09799999999998,-0.88,3.0869000000000018,1,1,5,1,0.2222222222222222,32.34
CHEMBL215022,O=C(Cc1cc(Nc2ncnc3cc(OCCCN4CCCC4CO)ccc23)n[nH]1)Nc1cccc(F)c1F,7.704339027404785,15.3185453414917,537.5710000000003,-0.85,3.781500000000002,8,4,12,11,0.3333333333333333,128.29
CHEMBL1389402,Cc1onc(CO)c1C(=O)Nc1nccs1,6.441197395324707,5.356380939483643,239.25600000000003,-0.84,1.18412,6,2,7,3,0.2222222222222222,88.25
CHEMBL1090123,CSc1nc(N)n2nc(-c3ccco3)nc2n1,7.7855224609375,7.254420280456543,248.27100000000002,-0.82,1.0833999999999997,8,1,8,2,0.1111111111111111,95.13
CHEMBL212689,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1,22.86748504638672,10.835403442382812,632.7950000000003,-0.79,4.8494000000000055,6,0,11,11,0.40625,91.83000000000001
CHEMBL413997,CC(Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,2.956012487411499,15.552779197692871,509.5700000000004,-0.78,3.7925000000000013,9,1,10,7,0.25,107.29000000000002
CHEMBL1899721,Nc1c2c(O)nc(O)cc2nn1-c1ccccc1,7.669342994689941,7.48176383972168,242.238,-0.75,1.4138999999999997,6,3,6,1,0.0,97.19
CHEMBL1362574,CC(=O)Nc1nc(-c2ccccc2)ns1,7.116518974304199,5.986367225646973,219.26900000000003,-0.74,2.1635,4,1,5,2,0.1,54.88
CHEMBL1327783,O=C(c1nnsc1[S+]([O-])c1ccc(Cl)cc1)N1CCOCC1,9.152308464050293,6.757512092590332,357.8440000000002,-0.74,1.8305999999999998,6,0,9,3,0.3076923076923077,78.38
CHEMBL2163360,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4ncccc4c3C2)CC1,-4.223132610321045,1.6989332437515259,391.47500000000014,0.18,2.42638,4,2,7,3,0.5454545454545454,101.88000000000001
CHEMBL119426,CC(C)(C)Cn1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21,8.031932830810547,1.899733066558838,365.4770000000002,-4.0,4.704700000000003,3,1,5,2,0.4090909090909091,46.5
CHEMBL1868497,O=C(CNC(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1,8.525381088256836,6.179710865020752,352.615,-3.3,3.715200000000002,2,1,5,4,0.06666666666666667,46.17
